"시점",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"시점",총지수,생활물가지수,식품,쌀,라면,두부,빵,떡,국산쇠고기,수입쇠고기,돼지고기,닭고기,햄및베이컨,고등어,오징어,조개,어묵,우유,발효유,달걀,참기름,식용유,사과,포도,귤,수박,바나나,배추,상추,시금치,깻잎,부추,무,당근,감자,콩나물,버섯,오이,풋고추,호박,토마토,파,양파,마늘,사탕,아이스크림,비스킷,스낵과자,파이,소금,간장,즉석식품,편의점도시락,커피,주스,생수,탄산음료,소주,맥주,김치찌개백반,된장찌개백반,비빔밥,해장국,돼지갈비(외식),삼겹살(외식),칼국수,자장면,짬뽕,김밥,떡볶이,치킨,햄버거,피자,커피(외식),소주(외식),맥주(외식),구내식당식사비,식품 이외,담배,남자하의,남자내의,여자하의,여자내의,티셔츠,유아동복,양말,운동화,상수도료,하수도료,공동주택관리비,쓰레기봉투료,전기료,도시가스,부엌용용구,세탁세제,섬유유연제,부엌용세제,소염진통제,조제약,생리대,외래진료비,한방진료비,치과진료비,휘발유,경유,도시철도료,시내버스료,택시료,휴대전화료,인터넷이용료,장난감,영화관람료,온라인콘텐츠이용료,방송수신료,유치원납입금,전문대학납입금,사립대학교납입금,초등학생학원비,중학생학원비,고등학생학원비,가정학습지,목욕료,이발료,미용료,치약,샴푸,화장지,기초화장품,자동차보험료,전월세,생활물가 이외,전·월세포함 생활물가지수
"2011.10",90.448,92.555,84.027,80.172,88.263,89.456,71.290,82.421,68.005,77.828,84.476,101.870,98.566,93.724,52.086,66.067,71.125,77.914,80.890,88.870,78.985,112.374,94.797,107.188,83.383,117.147,65.935,63.835,64.739,61.451,72.816,65.256,68.391,115.782,80.129,82.896,111.443,58.486,66.818,72.129,114.009,69.134,63.264,101.718,88.592,87.082,83.629,81.842,81.079,91.887,83.470,80.710,-,101.507,106.586,89.798,70.505,76.349,86.233,83.080,83.140,83.713,85.564,85.276,85.065,83.046,80.675,76.713,69.641,74.634,85.460,93.983,93.808,88.172,75.002,79.970,77.526,97.265,55.656,81.516,95.177,77.976,87.092,82.968,84.469,97.229,88.660,89.134,44.716,65.944,85.917,108.724,125.642,90.414,125.063,126.529,94.243,79.452,126.449,89.092,83.773,82.045,97.244,142.687,148.593,75.731,76.051,73.745,110.634,99.920,92.927,77.702,92.749,100.217,131.823,105.225,106.803,82.708,79.739,76.765,94.766,76.727,88.312,79.212,86.152,129.599,107.229,91.009,92.470,86.679,88.392,91.613
"2011.11",90.534,92.555,83.790,82.443,87.909,89.831,71.551,82.655,67.853,77.066,82.055,102.588,99.550,93.480,52.884,65.315,71.830,84.542,85.019,89.720,81.058,110.719,91.907,108.056,77.915,117.147,66.351,39.793,55.826,48.570,66.588,73.962,50.545,96.485,86.138,82.447,108.437,76.492,73.848,96.600,83.279,57.078,67.162,101.074,88.592,87.625,83.124,81.988,81.079,92.845,83.792,82.632,-,102.160,107.053,90.516,71.202,76.349,86.319,83.312,83.217,83.791,85.564,84.909,84.417,82.970,80.824,76.784,69.641,74.704,85.460,93.983,93.808,88.172,75.002,80.127,77.526,97.359,55.656,85.644,95.993,78.990,89.673,84.843,87.621,97.693,88.924,89.134,45.682,66.203,85.917,108.724,125.533,91.085,124.230,122.701,97.872,79.833,126.449,89.254,84.601,82.045,97.339,142.563,149.854,75.731,76.051,73.745,109.368,99.920,92.460,77.702,92.749,100.217,131.823,105.225,106.803,82.708,79.816,76.765,94.766,76.940,88.312,79.358,86.848,130.250,105.575,90.831,92.470,87.089,88.563,91.701
"2011.12",90.879,92.907,84.813,83.337,92.429,90.356,71.681,82.499,67.700,76.028,96.954,100.845,99.639,96.729,53.482,64.564,75.284,84.773,85.425,88.716,80.978,111.754,93.352,107.960,70.169,117.147,65.310,28.095,63.567,53.903,71.027,91.374,46.956,70.207,104.001,82.821,109.266,107.890,77.807,91.284,79.198,55.797,65.513,99.141,89.049,86.927,83.629,82.135,80.999,95.238,83.792,83.386,-,102.160,106.399,90.436,72.914,76.505,86.319,83.389,83.370,83.791,85.564,84.982,84.560,82.970,80.898,76.925,69.641,74.775,85.630,93.983,95.728,88.172,75.002,80.206,77.526,97.452,55.656,85.644,96.156,78.990,89.673,84.843,87.621,97.601,88.836,89.308,46.144,67.239,85.917,108.724,125.533,90.536,128.751,116.249,98.144,80.139,126.449,89.011,84.683,82.045,97.530,139.850,150.107,76.183,79.029,73.745,108.792,99.920,91.900,77.702,92.749,100.217,131.823,105.225,106.803,82.708,79.816,77.201,94.766,77.011,88.653,79.795,87.022,129.730,107.910,91.277,92.470,87.336,88.732,92.049
"2012.01",91.242,93.251,85.742,83.186,94.573,90.506,71.753,82.725,67.724,79.303,93.298,98.815,98.719,95.015,51.221,66.951,76.398,84.727,84.485,92.330,80.244,111.961,97.887,109.272,76.021,117.211,64.345,31.144,88.063,73.995,98.503,124.458,49.229,61.026,107.941,84.333,115.393,103.612,92.447,104.455,91.424,60.076,66.353,98.128,88.828,87.656,84.026,82.047,80.894,96.041,83.888,82.144,-,102.002,107.276,90.564,73.473,76.458,86.327,83.612,83.577,84.002,85.838,85.195,84.805,83.084,80.981,77.039,69.819,74.803,85.630,94.001,95.728,88.146,75.032,80.190,77.662,97.518,55.765,85.842,96.498,78.686,89.776,84.843,87.548,97.842,88.871,89.629,46.803,68.431,85.882,108.714,125.555,90.835,142.257,123.729,98.588,80.460,127.896,88.701,85.494,85.104,98.101,140.553,150.661,76.122,79.189,73.745,108.792,99.920,91.835,77.855,92.749,103.839,132.102,105.256,106.740,83.761,80.786,77.194,94.766,78.035,89.105,80.254,86.518,128.481,106.023,91.081,92.607,87.607,89.242,92.416
"2012.02",91.588,93.648,85.450,83.572,94.821,90.506,71.760,82.725,65.835,77.191,79.537,102.197,98.226,94.041,49.805,69.029,77.335,84.857,84.453,87.712,80.659,112.673,99.500,109.639,101.999,117.211,66.406,39.010,74.450,87.090,89.453,110.461,53.437,56.811,102.740,84.145,107.711,113.438,115.853,109.670,100.052,74.916,66.592,98.975,89.171,87.648,83.586,82.135,81.079,96.101,83.973,80.909,-,102.188,107.164,90.732,73.454,76.458,86.241,83.991,83.930,84.337,86.009,85.077,84.560,83.184,81.048,77.210,69.965,75.454,85.900,95.032,95.728,88.155,75.032,80.229,77.820,98.255,56.409,85.842,96.450,78.686,89.794,84.843,87.548,98.074,95.098,91.011,50.581,71.392,85.891,108.714,125.622,90.981,138.306,137.432,98.462,81.025,127.896,88.725,85.543,85.104,98.120,143.303,153.083,76.122,79.189,73.745,108.792,99.920,91.854,77.895,92.749,103.859,132.102,105.256,106.740,84.109,81.201,77.920,94.766,78.590,89.122,80.304,85.230,131.057,107.765,90.617,92.607,87.845,89.513,92.783
"2012.03",91.614,93.621,85.545,83.337,94.653,90.581,71.799,82.655,64.738,77.039,78.268,111.012,98.047,97.541,49.845,69.161,77.780,84.835,84.477,84.608,80.914,107.722,100.969,108.973,108.059,117.211,73.840,68.616,62.847,59.916,84.490,100.241,63.156,56.613,110.637,82.454,110.728,112.607,144.107,112.153,116.999,75.172,62.950,100.439,87.775,87.462,83.838,81.915,81.144,96.568,83.876,81.554,-,102.123,107.053,90.755,73.466,76.209,85.991,84.145,84.114,84.376,86.009,84.689,84.020,83.383,81.018,77.153,69.965,75.447,86.179,95.032,95.728,88.403,75.032,80.292,78.646,98.161,56.409,85.842,96.523,78.686,89.853,84.843,87.548,98.232,95.213,90.628,50.581,71.534,85.891,108.714,125.686,91.341,135.534,133.834,98.815,81.491,127.896,89.100,85.552,85.104,98.262,146.300,155.152,85.742,81.666,73.745,108.792,99.920,91.909,77.755,92.749,100.227,117.078,101.344,103.361,85.660,82.325,78.915,94.766,78.590,89.207,80.384,86.170,129.509,104.301,90.608,92.607,88.240,89.539,92.808
"2012.04",91.605,93.481,85.387,83.042,94.866,90.581,72.020,83.469,65.797,75.197,77.864,107.157,98.432,101.082,49.566,70.733,77.477,84.889,84.607,90.091,80.484,107.536,106.339,106.802,108.059,117.211,76.575,90.576,54.802,44.706,71.345,81.679,56.816,56.600,120.962,83.928,109.712,84.396,94.846,79.434,102.817,59.831,62.897,101.608,88.828,87.082,83.478,81.548,80.894,96.520,83.876,82.350,-,101.918,107.435,90.883,72.318,76.201,85.975,83.991,84.405,84.532,86.049,84.535,84.100,83.383,80.936,77.181,70.103,75.553,86.331,95.032,95.728,88.479,75.069,80.354,79.013,98.040,56.409,85.842,96.645,78.686,89.863,84.843,87.548,98.111,95.046,91.410,50.581,70.232,85.891,108.714,125.686,91.780,130.274,112.979,98.988,82.599,113.547,89.312,84.808,85.104,98.196,148.519,156.262,85.742,81.666,73.745,108.792,99.920,92.031,77.895,92.749,100.247,117.180,101.344,103.361,86.111,83.087,80.084,94.766,78.775,89.317,80.829,89.025,130.537,103.561,94.126,90.137,88.584,89.632,92.756
"2012.05",91.769,93.525,85.199,83.000,95.017,90.724,72.118,83.672,66.528,75.453,77.812,100.630,96.554,100.326,48.987,75.654,77.681,85.189,84.736,85.875,80.061,106.689,106.339,104.834,108.059,137.037,75.824,78.334,57.491,41.752,66.270,60.970,67.085,68.370,125.060,83.218,109.391,78.986,79.277,59.298,88.576,72.911,74.043,107.738,89.400,86.772,83.882,82.010,80.812,95.245,83.077,82.117,-,102.226,106.660,90.835,73.339,76.255,85.906,83.991,84.405,84.679,86.283,84.645,84.309,83.568,81.145,77.359,70.235,75.843,86.813,95.032,95.728,89.147,75.069,80.416,79.056,98.199,56.409,86.636,96.630,82.280,89.888,88.836,90.119,98.520,95.424,91.775,50.581,69.442,85.891,108.714,125.708,91.944,128.240,128.081,99.369,83.195,113.547,89.075,84.833,85.104,98.101,147.261,154.597,85.742,81.128,73.745,108.792,99.920,92.022,77.771,92.749,100.267,117.180,101.344,103.361,86.301,83.895,80.426,94.766,78.682,89.317,81.534,88.145,127.766,105.537,94.064,90.137,88.856,89.938,92.826
"2012.06",91.639,93.260,84.994,83.152,95.194,90.521,72.197,84.000,66.375,76.859,91.325,101.613,97.323,93.846,49.725,76.757,77.420,85.297,84.769,84.971,79.958,108.518,106.339,107.082,108.059,116.351,72.875,53.951,47.421,44.624,55.530,49.626,64.513,67.757,106.405,84.145,110.116,52.344,66.987,47.539,69.064,101.449,78.150,105.428,89.324,88.097,84.083,81.041,80.585,95.389,83.798,82.570,-,102.076,106.624,90.835,73.384,76.279,85.991,84.122,84.866,84.679,86.346,84.740,84.475,83.759,80.749,77.181,70.255,76.105,86.965,95.032,95.728,89.155,75.069,80.566,79.056,97.909,56.409,86.636,95.911,82.280,89.966,88.836,90.119,98.530,95.090,91.819,50.636,69.099,85.891,108.714,125.686,92.206,128.109,128.760,99.613,83.485,113.547,92.935,84.857,85.104,98.168,143.241,150.182,85.742,83.191,73.745,108.792,99.920,92.031,77.632,92.749,100.267,117.180,101.344,103.361,86.380,83.880,80.426,94.766,78.703,89.326,82.059,85.361,130.263,107.473,93.797,90.137,89.061,89.904,92.643
"2012.07",91.432,92.829,84.640,82.856,94.511,90.423,72.223,84.250,67.206,76.491,89.475,106.061,99.989,89.054,49.218,75.242,77.498,85.020,88.112,79.366,79.719,108.135,106.339,107.902,108.059,81.198,68.968,71.923,63.457,75.234,49.262,47.504,81.859,66.282,71.674,83.472,107.151,49.651,59.717,44.680,52.433,95.528,75.819,104.084,89.683,87.059,81.106,82.180,80.512,95.431,83.689,81.849,-,101.945,105.962,90.899,73.212,76.177,85.932,84.122,84.866,84.820,86.502,84.711,84.503,83.813,80.749,77.181,70.248,76.127,87.236,95.032,95.728,89.155,75.069,81.090,79.056,97.433,56.409,86.636,96.107,82.280,89.966,88.836,90.119,98.604,94.799,91.819,50.636,68.729,85.771,108.714,131.519,92.499,117.768,123.216,99.958,84.172,108.742,95.598,84.047,85.104,98.044,137.186,144.758,85.742,83.191,73.745,108.792,99.920,92.013,77.625,92.749,100.267,117.180,101.344,103.361,86.531,84.364,80.535,94.766,78.689,89.393,82.183,86.414,133.647,105.887,93.269,90.137,89.217,89.963,92.293
