year,min_wage,cpi,food_cpi,living_cpi,inflation,food_inflation,first_income,first_income_up
2011,4320.0,100.0,100.0,100.0,0.0,0.0,630,0.0
2012,4580.0,102.18697829716194,102.34420761957132,101.70114242855746,2.186978297161943,2.3442076195713257,761,20.793650793650794
2013,4860.0,103.51697273233168,103.19534266553498,102.43594899833691,1.3015302510483138,0.8316396850982066,814,6.964520367936925
2014,5210.0,104.83695047301057,103.73327914121428,103.2979336282705,1.2751317062681282,0.5212797998285668,827,1.597051597051597
2015,5580.0,105.57707289927659,106.17670615518867,103.07292629107471,0.7059747759989935,2.3554899972342502,864,4.474002418379685
2016,6030.0,106.60322760155816,108.97158499994022,103.76534017413611,0.9719484298078171,2.6322900247692127,891,3.125
2017,6470.0,108.67557039510295,112.60684016114185,106.30998836918596,1.9439775325475244,3.3359661247504224,920,3.254769921436588
2018,7530.0,110.27935447968837,115.20567104586804,107.98286900659804,1.4757540068615842,2.307880126116002,1057,14.891304347826088
2019,8350.0,110.70228158041179,116.147657585502,108.21874626346512,0.38350523787416946,0.8176563975387241,1104,4.446546830652791
2020,8590.0,111.29660545353367,119.54143903984314,108.6991967129363,0.5368668690809011,2.9219542820678956,1155,4.619565217391304
2021,8720.0,114.07902058987202,125.14793253081179,112.18844092742154,2.5000000000000013,4.689999999999994,1314,13.766233766233766
2022,9160.0,119.88870339454647,133.74296199777652,118.90605128428102,5.092682926829263,6.86789569204318,1347,2.5114155251141552
2023,9620.0,124.19588202559822,141.25016436947865,123.59098666260857,3.5926476049015985,5.613156953879139,1405,4.305864884929473
