"연령계층별","교육정도별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"20 - 29세","대졸이상",8.5,8.4,9.6,10.2,9.4,8.9,8.7,7.6,6.4,6.3
"20 - 29세","전문대졸",7.3,7.5,7.2,9.0,8.0,7.7,9.1,8.4,5.2,5.2
"20 - 29세","대학교졸이상",9.4,9.1,11.2,11.0,10.2,9.7,8.5,7.1,7.1,7.0
"30 - 39세","계",3.1,3.1,3.1,3.3,3.4,3.3,3.5,3.3,2.7,2.6
"30 - 39세","초졸이하",8.1,9.8,5.1,0.5,1.0,3.2,1.4,0.4,0.4,3.1
"30 - 39세","중졸",9.2,6.5,4.7,3.7,7.1,5.3,6.4,4.9,2.3,4.5
"30 - 39세","고졸",3.8,3.7,3.9,3.7,4.2,4.3,4.7,3.8,3.7,3.1
"30 - 39세","대졸이상",2.7,2.7,2.8,3.1,3.0,2.9,3.0,3.1,2.5,2.4
"30 - 39세","전문대졸",2.9,3.4,3.4,3.5,3.3,3.3,3.6,3.7,3.3,3.3
"30 - 39세","대학교졸이상",2.5,2.4,2.5,2.9,2.9,2.8,2.8,2.8,2.1,2.1
"40 - 49세","계",2.2,2.3,2.1,2.1,2.5,2.3,2.5,2.4,2.0,1.9
"40 - 49세","초졸이하",2.9,4.8,3.3,2.4,6.2,6.8,6.0,3.4,0.5,2.4
"40 - 49세","중졸",3.1,3.5,3.9,3.8,3.8,6.7,7.2,5.2,4.9,4.5
"40 - 49세","고졸",2.5,2.4,2.5,2.3,2.9,2.8,3.1,3.2,2.5,2.7
"40 - 49세","대졸이상",1.9,2.0,1.7,1.9,2.0,1.7,1.9,1.7,1.6,1.5
"40 - 49세","전문대졸",2.6,2.5,1.9,2.2,2.5,2.2,2.7,2.3,2.4,1.8
"40 - 49세","대학교졸이상",1.6,1.9,1.6,1.8,1.8,1.5,1.6,1.5,1.3,1.3
"50 - 59세","계",2.2,2.4,2.3,2.2,2.5,2.5,2.9,2.6,1.7,1.7
"50 - 59세","초졸이하",3.1,3.0,2.4,2.1,2.5,3.9,4.9,4.7,2.8,3.3
"50 - 59세","중졸",2.2,2.0,2.1,2.6,2.9,3.0,4.3,4.2,3.2,2.7
